,thumbnail,url,property,price,rating,projectSize,location,priceList,gym,swimmingPool,security,Kids_Play_Areas,Tennis Court,Badminton Court,Squash Court,running-cycling track,Basketball court,Yoga Areas,Power Backup,Lift,Fire Fighting Systems,Party Hall,indoor_games,theatre,retail_store,Food Court,garden,Clubhouse
0,"https://www.squareyards.com/cdn-cgi/image/width=242,height=212,quality=80,fit=crop,gravity=auto,format=webp/https://static.squareyards.com/resources/images/gurgaon/tn-projectflagship/tn-signature-global-city-81-project-flagship1.jpg",https://www.squareyards.com/gurgaon-residential-property/signature-global-city-81/112380/project,Signature Global City 81,₹ 88.30 Lac - 1.10 Cr,5.0,"['1035 units ', '11.97 Acres']",Sector 81 Gurgaon,"[{'unit type': '2 BHK 955 Sq. Ft. Ind Floor', 'area': '955 Sq. Ft.', 'price': '₹ 88.30 Lac'}, {'unit type': '2 BHK 1075 Sq. Ft. Ind Floor', 'area': '1075 Sq. Ft.', 'price': '₹ 98.82 Lac'}, {'unit type': '3 BHK 1190 Sq. Ft. Ind Floor', 'area': '1190 Sq. Ft.', 'price': '₹ 1.09 Cr'}, {'unit type': '3 BHK 1205 Sq. Ft. Ind Floor', 'area': '1205 Sq. Ft.', 'price': '₹ 1.10 Cr'}]",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
1,"https://static.squareyards.com/cdn-cgi/image/width=242,height=212,quality=80,fit=crop,gravity=auto,format=webp/resources/images/gurgaon/tn-projectflagship/tn-signature-global-park-project-flagship1.jpg",https://www.squareyards.com/gurgaon-residential-property/signature-global-park/10718/project,Signature Global Park,₹ 37.90 Lac - 73.27 Lac,5.0,"['2204 units ', '25 Acres']",Sohna Sector 36 Gurgaon,"[{'unit type': '2 BHK 514 Sq. Ft. Ind Floor', 'area': '514 Sq. Ft.', 'price': '₹ 41.89 Lac'}, {'unit type': '2 BHK 465 Sq. Ft. Ind Floor', 'area': '465 Sq. Ft.', 'price': '₹ 37.90 Lac'}, {'unit type': '2 BHK 528 Sq. Ft. Ind Floor', 'area': '528 Sq. Ft.', 'price': '₹ 43.03 Lac'}, {'unit type': '2 BHK 721 Sq. Ft. Ind Floor', 'area': '721 Sq. Ft.', 'price': '₹ 58.76 Lac'}, {'unit type': '3 BHK 899 Sq. Ft. Ind Floor', 'area': '899 Sq. Ft.', 'price': '₹ 73.27 Lac'}]",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
2,"https://static.squareyards.com/cdn-cgi/image/width=242,height=212,quality=80,fit=crop,gravity=auto,format=webp/resources/images/gurgaon/tn-projectflagship/tn-m3m-antalya-hills-project-flagship1-6497.jpg",https://www.squareyards.com/gurgaon-residential-property/m3m-antalya-hills/201749/project,M3M Antalya Hills,₹ 1.13 Cr - 1.50 Cr,5.0,"['2704 units ', '53.8 Acres']",Sector 79 Gurgaon,"[{'unit type': '2 BHK 1193 Sq. Ft. Ind Floor', 'area': '1193 Sq. Ft.', 'price': '₹ 1.17 Cr'}, {'unit type': '2 BHK 1146 Sq. Ft. Ind Floor', 'area': '1146 Sq. Ft.', 'price': '₹ 1.13 Cr'}, {'unit type': '3 BHK 1528 Sq. Ft. Ind Floor', 'area': '1528 Sq. Ft.', 'price': '₹ 1.50 Cr'}]",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
3,"https://static.squareyards.com/cdn-cgi/image/width=242,height=212,quality=80,fit=crop,gravity=auto,format=webp/resources/images/gurgaon/tn-projectflagship/tn-smart-world-orchard-project-flagship1.jpg",https://www.squareyards.com/gurgaon-residential-property/smart-world-orchard/103238/project,Smart World Orchard,₹ 1.25 Cr - 2.57 Cr,4.6,"['2289 units ', '23.29 Acres']",Sector 61 Gurgaon,"[{'unit type': '2 BHK 1120 Sq. Ft. Ind Floor', 'area': '1120 Sq. Ft.', 'price': '₹ 1.76 Cr'}, {'unit type': '3 BHK 1630 Sq. Ft. Ind Floor', 'area': '1630 Sq. Ft.', 'price': '₹ 2.57 Cr'}, {'unit type': '500 Sq. Ft. Retail Shop', 'area': '500 Sq. Ft.', 'price': '₹ 1.25 Cr'}]",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
4,"https://static.squareyards.com/cdn-cgi/image/width=242,height=212,quality=80,fit=crop,gravity=auto,format=webp/resources/images/gurgaon/tn-projectflagship/tn-m3m-crown-project-flagship1-6186.jpg",https://www.squareyards.com/gurgaon-residential-property/m3m-crown/214724/project,M3M Crown,₹ 2.22 Cr - 3.61 Cr,5.0,"['1332 units ', '16 Acres']",Sector 111 Gurgaon,"[{'unit type': '3 BHK 1555 Sq. Ft. Apartment', 'area': '1555 Sq. Ft.', 'price': '₹ 2.22 Cr'}, {'unit type': '3 BHK 2050 Sq. Ft. Apartment', 'area': '2050 Sq. Ft.', 'price': '₹ 2.93 Cr'}, {'unit type': '4 BHK 2270 Sq. Ft. Apartment', 'area': '2270 Sq. Ft.', 'price': '₹ 3.25 Cr'}, {'unit type': '4 BHK 2525 Sq. Ft. Apartment', 'area': '2525 Sq. Ft.', 'price': '₹ 3.61 Cr'}]",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
5,"https://static.squareyards.com/cdn-cgi/image/width=242,height=212,quality=80,fit=crop,gravity=auto,format=webp/resources/images/gurgaon/tn-projectflagship/tn-signature-global-city-93-project-flagship1-5580.jpg",https://www.squareyards.com/gurgaon-residential-property/signature-global-city-93/216130/project,Signature Global City 93,₹ 85.57 Lac - 1.30 Cr,4.0,"['1246 units ', '17.31 Acres']",Sector 93 Gurgaon,"[{'unit type': '2 BHK 629 Sq. Ft. Apartment', 'area': '629 Sq. Ft.', 'price': '₹ 96.60 Lac'}, {'unit type': '2 BHK 502 Sq. Ft. Apartment', 'area': '502 Sq. Ft.', 'price': '₹ 85.57 Lac'}, {'unit type': '3 BHK 737 Sq. Ft. Apartment', 'area': '737 Sq. Ft.', 'price': '₹ 1.06 Cr'}, {'unit type': '3 BHK 951 Sq. Ft. Apartment', 'area': '951 Sq. Ft.', 'price': '₹ 1.30 Cr'}]",Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
6,"https://static.squareyards.com/cdn-cgi/image/width=242,height=212,quality=80,fit=crop,gravity=auto,format=webp/resources/images/gurgaon/tn-projectflagship/tn-trehan-iris-broadway-project-flagship1-2524.jpg",https://www.squareyards.com/gurgaon-residential-property/trehan-iris-broadway/20992/project,Trehan Iris Broadway,Price on request,,['2.8 Acres'],Sector 85 Gurgaon,"[{'unit type': '555 Sq. Ft. Studio', 'area': '555 Sq. Ft.', 'price': 'Price on Request'}, {'unit type': '821 Sq. Ft. Studio', 'area': '821 Sq. Ft.', 'price': 'Price on Request'}, {'unit type': '200 Sq. Ft. Retail Shop', 'area': '200 Sq. Ft.', 'price': 'Price on Request'}, {'unit type': '300 Sq. Ft. Retail Shop', 'area': '300 Sq. Ft.', 'price': 'Price on Request'}]",Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No
7,"https://static.squareyards.com/cdn-cgi/image/width=242,height=212,quality=80,fit=crop,gravity=auto,format=webp/resources/images/gurgaon/tn-projectflagship/tn-dlf-the-arbour-project-flagship1-4076.jpg",https://www.squareyards.com/gurgaon-residential-property/dlf-the-arbour/214735/project,DLF The Arbour,6.82 Cr,,"['1137 units ', '25 Acres']",Sector 63 Gurgaon,"[{'unit type': '4 BHK 3900 Sq. Ft. Apartment', 'area': '3900 Sq. Ft.', 'price': '₹ 6.82 Cr'}]",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
8,"https://static.squareyards.com/cdn-cgi/image/width=242,height=212,quality=80,fit=crop,gravity=auto,format=webp/resources/images/gurgaon/tn-projectflagship/tn-m3m-golf-hills-project-flagship1-5190.jpg",https://www.squareyards.com/gurgaon-residential-property/m3m-golf-hills/220071/project,M3M Golf Hills,₹ 1.57 Cr - 2.63 Cr,,"['1309 units ', '53.38 Acres']",Sector 79 Gurgaon,"[{'unit type': '3 BHK 2100 Sq. Ft. Apartment', 'area': '2100 Sq. Ft.', 'price': '₹ 1.89 Cr'}, {'unit type': '3 BHK 1570 Sq. Ft. Apartment', 'area': '1570 Sq. Ft.', 'price': '₹ 1.57 Cr'}, {'unit type': '4 BHK 2635 Sq. Ft. Apartment', 'area': '2635 Sq. Ft.', 'price': '₹ 2.63 Cr'}]",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
9,"https://static.squareyards.com/cdn-cgi/image/width=242,height=212,quality=80,fit=crop,gravity=auto,format=webp/resources/images/gurgaon/tn-projectflagship/tn-smart-world-one-dxp-project-flagship1-3875.jpg",https://www.squareyards.com/gurgaon-residential-property/smart-world-one-dxp/210648/project,Smart World One DXP,₹ 1.78 Cr - 3.36 Cr,,"['976 units ', '16 Acres']",Sector 113 Gurgaon,"[{'unit type': '2 BHK 1377 Sq. Ft. Apartment', 'area': '1377 Sq. Ft.', 'price': '₹ 1.78 Cr'}, {'unit type': '3 BHK 1806 Sq. Ft. Apartment', 'area': '1806 Sq. Ft.', 'price': '₹ 2.34 Cr'}, {'unit type': '3 BHK 2015 Sq. Ft. Apartment', 'area': '2015 Sq. Ft.', 'price': '₹ 2.61 Cr'}, {'unit type': '4 BHK 2597 Sq. Ft. Apartment', 'area': '2597 Sq. Ft.', 'price': '₹ 3.36 Cr'}, {'unit type': '600 Sq. Ft. Retail Shop', 'area': '600 Sq. Ft.', 'price': 'Price on Request'}]",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
