,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,name,description
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5804643,Elan The Presidential,
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5807416,ATS Tourmaline,"Located in the prime location of Sector 109, Gurgaon, this spacious 3 BHK Flats is perfect for those seeking to invest in a breakthrough property.Being a part of a gated society, you can rest assured about the safety and security of your family.The apartment boasts of a well-ventilated layout, allowing natural light to seep in, creating a refreshing and airy ambiance. Nestled in a peaceful vicinity, this property offers a serene escape from the fast-paced city life.With a stunning garden view, you can unwind and rejuvenate, enjoying the picturesque greenery from the comfort of your home. The ATS Tourmaline project offers a range of world-class amenities including a gymnasium, swimming pool, badminton and tennis courts, squash court, kids play areas, and a jogging/cycle track for your utmost leisure.This unfurnished apartment is equipped with modern amenities, ensuring a comfortable and convenient lifestyle. The power backup facility and round-the-clock security guarantees uninterrupted living, providing peace of mind to you and your family.Offering ample space, this property spans across an area of 2150 square feet. The apartment is situated on the 6th floor of a total of 19 floors, providing panoramic views of the surroundings.Investing in this handsome property is indeed a lucrative opportunity. Priced at 1.8 Crores, this apartment is competitively priced considering the location and multiple amenities on offer.Dont miss the chance to be a part of this luxurious lifestyle."
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5793091,Shapoorji Pallonji Joyville Gurgaon,"Welcome to this stunning 3 BHK Flats for sale in Sector 102, Gurgaon.Situated in the renowned Shapoorji Pallonji Joyville Gurgaon project, this modern and beautifully designed apartment is perfect for those seeking a luxurious and elegant living space.Spread over an area of 1852 square feet, this apartment offers ample space and comfort for you and your family. With a garden view, you can wake up each morning to the serene and refreshing sights of nature, adding a touch of tranquility to your daily life.The apartment is unfurnished, allowing you the flexibility to create a personalized space that reflects your style and taste. It consists of 3 spacious bedrooms and 3 well-appointed bathrooms, ensuring privacy and convenience for each family member. The open floor plan seamlessly integrates the living, dining, and kitchen areas, creating a spacious and welcoming atmosphere.In terms of amenities, this apartment leaves no stone unturned. Residents of Shapoorji Pallonji Joyville Gurgaon have access to a range of exceptional facilities, including a gymnasium, swimming pool, badminton and tennis courts, squash court, kids play areas, and a jogging/cycle track. With 24x7 security and power backup, you can rest easy knowing that your safety and comfort are always a top priority.Conveniently located on the 4th floor of a 24-floor building, this apartment offers panoramic views and a sense of elevation.The project is relatively new, having been built within the past year which ensures that you will be the first proud owner.Included in this offering are 2 parking spaces, ensuring that you and your guests always have a secure place to park your vehicles.Priced at Rs 2.2 Cr, this apartment is an excellent investment opportunity in Gurgaons thriving real estate market."
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5806441,Hero Homes Gurgaon,"Discover your dream home in the heart of Gurgaon with this luxurious 3BHK Flats in Sector 104.Located at a prime location, this property offers the perfect blend of comfort, convenience, and a safe & secure locality.Spread across a spacious 1359 sqft area, this well-designed apartment is available for sale in an esteemed project by a reputed builder, Hero Homes Gurgaon. The wide road-facing view adds to the charm of this exquisite property.Step into a world of indulgence and leisure with the host of amenities available at your disposal. Stay fit and healthy at the fully-equipped gymnasium, take a refreshing dip in the swimming pool, or indulge in a game of badminton, tennis, or squash at the courts. The kids play areas and jogging / cycle track ensure that theres something for everyone in the family. With power backup, central AC, and central Wi-Fi, your comfort and convenience will never be compromised. Experience the luxury of an attached market, restaurant, and home automation, all within reach. The 24 x 7 security, clubhouse, and balcony provide a peaceful and serene environment for you and your loved ones.Enjoy the convenience of high-speed elevators, medical facilities, a pet area, visitors parking, service elevators, and a view of water. The property also offers access to a day care center, electricity backup, first aid medical center, and tiles adorned throughout. There is an intercom system, dedicated kids play area, maintenance staff, security staff, and CCTV security for added peace of mind. Additionally, there are laundry facilities, cleaning services, and a balcony or terrace for you to relax and unwind.This unfurnished apartment, flawlessly designed, offers three bedrooms and three bathrooms. With two dedicated parking spaces, convenience and accessibility are taken care of. The property is barely a year old, promising modernity and contemporary living at its finest. Situated on the ground floor, there are no concerns of climbing multiple storeys as this project has zero floors.Words fall short when describing the beauty and elegance of this property.Dont miss out on the opportunity to make this your dream abode."
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5806804,Apex Our Homes,"Introducing a breakthrough property at a breakthrough price! This newly built 2.5 BHK Flats in Sector 37C, Gurgaon is waiting for its first owner.The apartment is a Vastu compliant marvel, designed to bring in plenty of sunlight and create a bright and positive living environment.With a super built-up area of 1100 square feet, this unfurnished apartment offers spacious living spaces that can be customized to your liking. The apartment is located on the 4th floor of the 7-floor building, ensuring breathtaking views of the community from the balcony. The building comes equipped with high-speed elevators and electricity backup for your convenience and peace of mind.Residents of this property can enjoy a range of amenities that cater to the needs of every member of the family. There are kids play areas, a jogging/cycle track, and a large green area where kids can play and adults can go for a leisurely walk. The attached market ensures that you have easy access to all your daily needs, while the 24 x 7 security and CCTV security help keep you and your loved ones safe.Apex Our Homes is a renowned project known for its dedication to quality and customer satisfaction. The project is strategically located in Sector 37C, with several schools in the vicinity, making it an ideal choice for families with school-going children. Additionally, medical facilities, a pre-school, a day-care center, and a pet area are all available within the complex for your convenience.Dont miss this opportunity to own a spacious and well-designed apartment in Gurgaon at an incredible price of just 58 lakh.With all the mentioned features and amenities, this property is perfect for anyone looking to settle down and build a home."
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5797183,Pareena Coban Residences,"Looking for a spacious and luxurious Flats for sale in Gurgaon.Look no further as we have the perfect investment opportunity for you in Sector 99A. Priced at 1.19 Cr, this stunning 2 BHK apartment spans across an area of 1550 square feet and offers a premium park view. The apartment is semi-furnished, making it ready for you to move in and add your personal touch.The apartment is located in a peaceful vicinity, ensuring a tranquil living experience for you and your family. With amenities such as a gymnasium, swimming pool, badminton court, tennis court, squash court, and kids play areas, there is something for everyone to enjoy. The jogging/cycle track is perfect for those who love to stay fit and active.In terms of infrastructure, the apartment has power backup, 24 x 7 security, a clubhouse, and a conference room. Additionally, there is a medical facility for any emergencies. The large green area surrounding the apartment provides a refreshing view, enhancing the quality of life.The apartment also has amenities such as broadband internet, satellite/cable TV, a reception/waiting room, and maintenance staff. Your safety is of utmost importance, and this property ensures that with features like CCTV security and security staff.With a balcony or terrace, you can enjoy the view and relax after a long day. The apartment is tiled, adding a touch of elegance to the interior. The apartment is equipped with a parking space, so you dont have to worry about finding a spot for your vehicle.The Pareena Coban Residences is 5-7 years old and offers a luxurious lifestyle with its range of amenities and spacious apartment layout.Dont miss out on this golden investment opportunity in Gurgaon."
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5790331,Silani Chowk,"Introducing Silani Chowk, a prime location in Gurgaon that offers a great opportunity for families and individuals looking to invest in plots for sale.This family-friendly locality boasts of excellent amenities and is conveniently situated amongst reputed schools, making it a preferred choice for homebuyers.A highlight of this particular plot is its fully renovated status, ensuring that you have a hassle-free experience when you decide to build your dream home on it. The plot covers an area of 125 square yards, providing ample space for your desired architectural plans and landscaping ideas.With a listing price of 11 Lac, this plot offers excellent value for money. By putting the price in words, we strive to make it easier for you to understand the investment potential. The affordability factor combined with the advantages provided by Silani Chowk as a location makes it a lucrative deal.The plot is surrounded by various amenities to cater to your daily needs. You can indulge in shopping for everyday necessities at the attached market or enjoy quick access to pre-schools, ensuring your childs early education is conveniently situated for a balanced lifestyle. The presence of medical facilities nearby and easy availability of ATMs makes life more convenient and comfortable. You can also focus on your fitness goals by utilizing the private gym while enjoying the serene view of water in the surroundings.Dont miss out on this exceptional opportunity to acquire a plot in Silani Chowk, Gurgaon. Its proximity to schools, fully renovated status, and a price of just 11 Lac adds tremendous value when considering home buying or investment options. Build your dream home or venture into real estate development in this booming locality.Reach out to us now and secure your slice of this exceptional real estate offering."
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5753579,Emaar Palm Heights,"Welcome to this exquisite 3.5 BHK Flats for sale in Sector 77, Gurgaon.Situated in the prestigious Emaar Palm Heights project, this semi-furnished property offers a luxurious and comfortable lifestyle.Sprawling across 2025 square feet of space, this apartment is designed with impeccable attention to detail. The large windows ensure ample natural light and ventilation throughout the property. From the moment you enter, you are greeted with a mesmerizing park view that adds to the overall charm of the apartment.The modern and well-equipped kitchen aims to cater to all your culinary needs. The spacious bedrooms are thoughtfully designed to provide utmost comfort and relaxation. The bathrooms are tastefully done with high-quality fittings and tiles. With a dedicated servant quarter, you have the convenience of additional space and help.The Emaar Palm Heights project boasts of an array of amenities for the residents to enjoy. Start your day with a workout in the gymnasium and cool off with a refreshing swim in the swimming pool. The kids play areas ensure that your little ones stay entertained and active. Other facilities such as 24x7 security, clubhouse, conference room, and maintenance staff are also available.Conveniently located in Sector 77, Gurgaon, this apartment offers easy access to essential amenities and attractions. With a price of 1.82 crore, this property is a steal considering the prime location, luxurious features, and exceptional floor plan.Dont miss out on the opportunity to own this magnificent apartment.Contact us today for more information and to schedule a viewing."
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,5802613,Unitech Nirvana Country Aspen Greens,"This 3 BHK Flats, located in the well-known Unitech Nirvana Country Aspen Greens project in Sector 50, Gurgaon, is now available for sale.Spread over an area of 2130 square feet, this spacious apartment offers a safe and secure environment in a gated society. The locality of Sector 50 is known for its wide roads and is conveniently located with schools in its vicinity. The apartment is well-ventilated and semi-furnished, providing a comfortable living space for you and your family.Some of the key amenities included in this apartment are a jogging/cycle track, 24x7 security, balcony, visitors parking, electricity backup, waste disposal, and maintenance staff. With high-quality tiles and security staff available, this apartment ensures the safety and convenience of its residents.The property age of this apartment is between 5-7 years, ensuring that it is well-maintained and in good condition. It is located on the 8th floor of a building with no information provided for the total floor count.Priced at 2.4 crore, this apartment is a great investment opportunity in a desirable location.With one designated parking space available, you dont have to worry about searching for parking in the area.Dont miss out on this chance to own a home in a prominent locality of Gurgaon."
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,5794089,Breez Global Heights,"Introducing a prime location Flats in Sohna Sector 33, Gurgaon.This affordable and spacious 2 BHK apartment is perfect for families looking for a comfortable and convenient living space. With a built-up area of 623 square feet, this apartment offers ample space for you and your loved ones. Situated in a locality with schools in close proximity, this apartment is perfect for families with young children.The apartment is located in Breez Global Heights, a renowned project that offers a range of modern amenities for residents to enjoy. Some of the amenities available in this project include a gymnasium, swimming pool, badminton and tennis courts, kids play areas, and a jogging or cycle track. Rest assured, your safety and security are taken care of with 24x7 security personnel and power backup facility. Additionally, a clubhouse is available for you to relax and socialize with fellow residents.This 2 BHK apartment is unfurnished, allowing you to design and decorate the space according to your own preferences. The apartment is on the 4th floor of a 10-floor building, providing a pleasant view and easy accessibility.The apartment is approximately 2-4 years old, ensuring that you move into a well-maintained and well-constructed living space.With 3 parking spaces available, you will have no trouble finding parking for your vehicles or guests.Priced at 42 Lac, this apartment offers a prime location, spacious living area, and a range of amenities, making it an excellent investment opportunity for homebuyers or tenants."
